Faculty Name,Categories,All Keywords
Ken LeBlanc,"Innovation & Strategy, Law, Technology",IT Governance; Information Systems Management; Strategic IT Management; Business–IT Alignment; IT Project Management; Program Execution; Stakeholder Collaboration; Business Process Automation; Enterprise Resource Planning; Customer Relationship Management; Business Process Automation; Digital Transformation; Agile IT Governance; Data-Driven Management; IT-Driven Business Innovation
Ken Matsuno,"Entrepreneurship, Marketing, Marketing & Consumer Behavior, Sustainability, Technology",marketing strategy; corporate strategy; business-to-business relationships; market orientation; global marketing; mediation analysis; structural equation modeling; survey research; longitudinal analysis; fashion industry; pharmaceutical industry; automotive industry; business-to-business marketing; population aging; sustainability marketing; environmental uncertainty; entrepreneurial proclivity
Kenneth Accardi,"Data, Operations & Supply Chain, Healthcare, Law, Technology",Healthcare Technology; Health Informatics; Computer Science; Engineering Management; Business Administration; Medical Imaging; Service Management; IT Governance; Data Analytics; Business Intelligence; Home Health Services; Radiography Applications; Telematics Solutions; Enterprise Service Management; Healthcare IT Solutions; Digital Health; Remote Patient Monitoring; IoT Healthcare; Aging-in-Place Technology; Telecare
Kenneth Demma,"Entrepreneurship, Finance, Marketing, Marketing & Consumer Behavior, Retail, Technology",Consumer Behavior; Strategic Marketing; Marketing Analytics; Customer Experience Management; Digital Business Strategy; Predictive Modeling; Customer Segmentation; Data Mining; Marketing Attribution; CRM Analytics; Financial Services Marketing; E-commerce; Government Advisory; Small Business Consulting; Technology Consulting; Customer Journey Analytics; Real-time Marketing Analytics; AI-Driven Marketing; Omni-channel Analytics; Analytics-Driven Strategy
Kenneth Parker,"Entrepreneurship, Marketing, Marketing & Consumer Behavior, Retail, Technology",Marketing Strategy; Consumer Behavior; Brand Management; Survey Research Methods; Marketing Analytics; Qualitative Interviews; Retail Marketing; B2B Marketing; Small Business Marketing; Social Media Marketing; Marketing Automation; AI in Marketing
Kerri McKeever,"Finance, Finance & Economics, Technology",Investment Management; Fixed Income; Asset Allocation; Portfolio Management; Institutional Investment Consulting; Fixed Income Analysis; Bond Valuation; Risk Modeling; Manager Selection; Portfolio Monitoring; Institutional Asset Management; Private Client Services; Nonprofit Finance; Capital Markets; 
Kerry Gibson,"Leadership & Organizational Development, Retail, Technology",workplace relationships; relationship development; organizational identification; employee engagement; organizational voice; relational identity threat; survey methodology; dyadic analysis; scale development; quantitative analysis; qualitative interviews; retail sector; leadership development; team coaching; organizational training; positive organizational scholarship; organizational compassion; positive psychology interventions; microcommunity research
Kerry Rourke,"Accounting, Leadership & Organizational Development, Technology",Strategic Business Communication; Accounting Education; Business Pedagogy; Communication Studies; Podcast Production; Experiential Learning; Integrated Curriculum Design; Collaborative Learning; Higher Education; Corporate Training; Accounting Firms; Professional Development; Educational Podcasting; Digital Communication Pedagogy; Interdisciplinary Communication; Civil Discourse Education
Kevin Bruyneel,"Economics, Humanities & Cultural Studies",Political Theory; Critical Race Studies; Indigenous Studies; Settler Colonial Studies; Memory Studies; American Politics; Archival Research; Critical Discourse Analysis; Intersectional Analysis; Comparative Historical Analysis; Public Policy; Higher Education; Cultural Heritage; Social Justice Advocacy; Racial Capitalism; Settler Memory; Decolonial Studies; Critical Indigeneities
Kevin Sweeney,"Entrepreneurship, Finance, Finance & Economics, Technology",Entrepreneurship; Corporate finance; Entrepreneurial finance; Financial technology; Social enterprise; Experiential learning; Immersive education; M&A analysis; Private equity valuation; Transaction structuring; Banking; Financial services; Community economic development; Non-profit management; Real estate development; FinTech innovation; Social impact finance; Experiential entrepreneurship
Kim Sawyer,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Law",Women entrepreneurship; Gender studies; Economic development; Corporate governance; Social entrepreneurship; Finance; Mentorship program models; Networking interventions; Training program design; Diversity inclusion frameworks; Equity financing strategies; Risk management frameworks; Supplier diversity; Nonprofit management; SME development; Banking governance; Under-resourced economies; Gender-lens investing; Inclusive economic development; Cross-border entrepreneurship; Social entrepreneurship networks; Diversity equity inclusion
Kimberly Silva,"Accounting, Accounting, Law & Governance, Entrepreneurship, Finance, Law, Operations, Technology",Fraud Examination; Financial Crime Compliance; Anti-Money Laundering; Forensic Accounting; Supply Chain Management; Accounting Education; Internal Audit; Fraud Risk Assessment; Financial Data Analytics; Compliance Audit; Forensic Investigations; Banking Compliance; Nonprofit Financial Management; Small Business Accounting; False Claims Act Enforcement; Financial Services Sector; Beneficial Ownership Transparency; Supply Chain Effectiveness; Consent Order Compliance
Kimiko Ise,"Humanities & Cultural Studies, Technology",Japanese language education; Japanese culture studies; Second language acquisition; English literature; Foreign language pedagogy; Communicative language teaching; Task-based language teaching; Curriculum development; Instructional design; Higher education; International education; Cross-cultural communication; Language instruction; Digital language learning; Intercultural competence; Global citizenship education
Kirstin Cooprider,"Data, Operations & Supply Chain, Technology",Mathematics Education; Data Analytics; Science Education; Educational Technology; Statistical Modeling; Quantitative Analysis; Data Visualization; Mathematical Modeling; Higher Education; STEM Curriculum Development; Educational Analytics; Instructional Design; Learning Analytics; STEM Pedagogy; Interdisciplinary STEM Integration; Data-Driven Education
Krista Hill,"Healthcare, Marketing, Marketing & Consumer Behavior, Technology",Services marketing; Consumer psychology; Marketing communication; Service recovery; Emotional marketing; Meta-analysis; Experimental design; Nonverbal behavior assessment; Marketing experiments; Social media complaint management; Healthcare marketing; Plant-based meat marketing; Service failure compensation; Cancel culture phenomenon; Affective message tailoring; Interdisciplinary health communication; Digital complaint deescalation
Kristen Getchell,"Leadership & Organizational Development, Technology",Business Communication; Virtual Collaboration; Sales Communication; Rhetorical Theory; Storytelling; Artificial Intelligence; Video Conferencing Platforms; Online Collaboration Platforms; Qualitative Content Analysis; Experimental Research Methods; Virtual Sales Interactions; B2B Relationship Management; Remote Team Collaboration; Management Education; Professional Communication; AI-driven Business Communication; Virtual Persuasion Strategies; Rhetorical Pedagogy; Hybrid Learning Environments; Global Virtual Team Resilience
Kristen Tzoc,"Economics, Healthcare, Leadership & Organizational Development",Medical Sociology; Social Inequalities; Sociology of Education; Labor Market Sociology; Youth Studies; Social Network Analysis; Longitudinal Analysis; Survey Methodology; Qualitative Interviews; Multivariate Statistics; Health Policy; Higher Education Administration; Workforce Development; Mental Health Services; Life Course Studies; Intersectional Health Disparities; Occupational Aspiration Research; Adolescent Mental Health
Kristi Girdharry,"Humanities & Cultural Studies, Marketing, Technology",Rhetoric and Composition; Writing Center Studies; Digital Literacy; Oral History Studies; Social Media Rhetoric; Generative AI Tools; Crowdsourced Archiving; Heuristic Analysis; Oral History Methodology; Academic Tutoring Services; Writing Center Administration; Professional Development Programs; Community Engagement Initiatives; AI Pedagogy; Antiracist Writing Pedagogy; Digital Community Spaces; Ethical AI in Education; Crowdsourced Memorialization
Kristin Wendell,"Accounting, Accounting, Law & Governance, Finance, Sustainability, Technology",Financial Accounting; Managerial Accounting; Corporate Finance; Financial Reporting; Strategic Cost Analysis; Financial Ratio Analysis; Accrual Estimation; Case Methodology; Blended Learning; Virtual Learning; Executive MBA Programs; Corporate Training; IT Business Services; Management Development; Sustainability Accounting; Integrated Reporting; Virtual Executive Education; Digital Learning Strategies
Kristofer Petersen,Humanities & Cultural Studies,Political Theory; Violence Studies; Structural Injustice; Israeli-Palestinian Conflict; Colonialism Studies; Critical Discourse Analysis; Textual Analysis; Game-Based Learning; Role-Playing Pedagogy; Qualitative Analysis; Higher Education; Peacebuilding; Political Education; Academic Publishing; Atrocity Studies; Postcolonial Political Thought; Serious Games in Humanities; Decolonial Translation Studies
Krystal-Gayle-ONeill,"Economics, Humanities & Cultural Studies, Law",Conflict Resolution; Human Security; Restorative Justice; Postcolonial Studies; Gender and Sexuality; International Governance; Qualitative Case Studies; Discourse Analysis; Policy Analysis; Ethnographic Research; Intersectional Analysis; Human Rights Advocacy; NGO Management; Conflict Mediation; Education Administration; Policy Development; Queer Caribbean Studies; LGBTQ Decriminalization; Decolonial Theory; Global Gender Politics; Human Security Frameworks
Lara Kazo,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Healthcare, Technology",Global entrepreneurship; Women's entrepreneurship; Entrepreneurship education; Corporate entrepreneurship; Technology entrepreneurship; International entrepreneurship; Cross-national surveys; Mixed-methods research; Indicator analysis; Ecosystem assessment; Quantitative modeling; University-based startups; SME development; Government policy advisory; Health and fitness ventures; Computer peripherals startups; High-impact entrepreneurship; Entrepreneurial ecosystem dynamics; Gender gap analysis; Policy impact studies
Larinda Cole,"Marketing, Marketing & Consumer Behavior, Retail, Technology",Marketing Strategy; Consumer Behavior; Digital Marketing; Services Marketing; Survey Research; Qualitative Interviews; Statistical Analysis; Data Analytics; Focus Group Research; E-Commerce Retail; Consumer Goods; Business-to-Business Marketing; Hospitality Marketing; Social Media Marketing; Neuromarketing; Marketing Automation; Mobile Marketing; Artificial Intelligence Marketing
Laura Cannon,"Leadership & Organizational Development, Sustainability, Technology",ecosystem processes; biogeochemical cycles; global change ecology; coastal ecosystem ecology; land-ocean continuum; nutrient flux measurement; stable isotope tracing; ecological modeling; field-based monitoring; geochemical assays; ecosystem management; environmental monitoring; climate change mitigation; coastal resource management; Arctic ecosystem dynamics; silicon biogeochemistry; eco-hydrology; socio-ecological systems; anthropogenic nutrient impacts
Lauren Beitelspacher,"Innovation & Strategy, Marketing, Operations, Retail, Sustainability, Technology",Retail Management; Buyer-Supplier Relationships; Supply Chain Management; Sustainable Consumption; Experiential Learning; Digital Brand Strategy; Modular Course Design; Pedagogical Innovation; Retail Supply Chain; Retail Returns; B2B Relationships; Sustainable Retailing; Cancel Culture; Conscientiousness in B2B; Responsible Management Education
Lauri Union,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Technology",Entrepreneurship; Venture creation; Small business management; Entrepreneurial finance; Case study research; Qualitative interviews; Survey methodology; Experiential learning; Startup ecosystems; Family business; Social entrepreneurship; Nonprofit entrepreneurship; Digital entrepreneurship; Sustainable entrepreneurship; Crowdfunding platforms; Platform-based ventures
Laurie Krigman,"Entrepreneurship, Finance, Finance & Economics, Law, Marketing, Technology",Corporate Finance; Financial Econometrics; Corporate Governance; Asset Pricing; Equity Issuance; Event Study Methodology; Econometric Analysis; Regression Analysis; Empirical Modeling; Time-Series Analysis; Panel Data Analysis; Initial Public Offerings; Venture Capital; Asset Management; Investment Banking; Financial Services; 
Laurie Lesser,"Entrepreneurship, Leadership & Organizational Development, Technology",Organizational communication; Leadership communication; Conflict management; Management education; Entrepreneurship education; Instructional design; Experiential learning; Qualitative case studies; Conflict resolution frameworks; Curriculum development; Corporate training; Non-profit management; Professional development; Small business development; Higher education administration; Virtual team leadership; Digital learning platforms; Remote conflict resolution; Entrepreneurial communication; Hybrid workplace communication
Lee Gustafson,"Marketing, Marketing & Consumer Behavior, Retail, Technology",Marketing Strategy; Brand Management; Advertising Strategy; Consumer Behavior; Integrated Marketing Communications; Marketing Analytics; Market Research; Campaign Performance Measurement; Marketing Automation; Digital Marketing; Automotive Marketing; Renewable Energy Marketing; Hospitality Marketing; Retail Marketing; QSR Marketing; Sports Marketing; Sustainable Marketing; Experiential Marketing; Digital Transformation; Customer Experience Management; Brand Revitalization
Leeann Simons,"Data, Operations & Supply Chain, Healthcare, Technology",Mathematics; Data Analytics; Clinical Nutrition; Human Health; Human Disease; Human Nutrition; Statistical Modeling; Mathematical Modeling; Quantitative Analysis; Data Visualization; Healthcare Analytics; Clinical Nutrition Services; Preventive Healthcare; Medical Practice Collaboration; Precision Nutrition; Population Health Analytics; Interdisciplinary STEM Education
Leigh Heyman,"Finance, Marketing, Marketing & Consumer Behavior, Retail, Technology",Marketing Strategy; Consumer Behavior; Digital Marketing; Marketing Analytics; Data-driven Marketing; Social Media Analytics; E-commerce Marketing; Financial Services Marketing; Retail Marketing; AI in Marketing; Omnichannel Marketing; Influencer Marketing
Leonard Green,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Law, Technology",Entrepreneurship; Family Business; Taxation; Startup Management; Business Education; Experiential Learning; Case Study Methodology; Financial Modeling; Governance Frameworks; Tax Modeling; Pet Food Industry; Real Estate Investment; Financial Services; Thoroughbred Racing; Sports Management; Nonprofit Governance; Impact Investing; Digital Entrepreneurship; Social Entrepreneurship; Equine Entrepreneurship; Family Office Governance
Leslie Charm,"Entrepreneurship, Finance, Innovation & Strategy, Law, Marketing, Operations, Retail, Technology",Entrepreneurship; Franchising; Corporate Governance; Family Business; Business Scaling; Case Study Methodology; Teaching Case Development; Financial Modeling; Business Model Analysis; Franchise Chain Operations; Specialty Retail Marketing; Early-Stage Venture Financing; Board Directorship; Alternative Finance Models; Collaborative Distribution Models; Strategic Alliance Formation; Fraud Risk Management; Digital Franchising
Lidija Polutnik,"Economics, Finance, Finance & Economics, Marketing, Operations, Sustainability, Technology",Pricing strategy; Revenue management; Strategic cost management; Managerial economics; Cost-value analysis; Econometric modeling; Financial modeling; Case study methodology; Activity-based costing; Higher education finance; Pharmaceutical pricing; Not-for-profit management; Technology product launch; Private college operations; Business model sustainability; Organizational ambidexterity; Digital revenue management; Hybrid pricing strategies
Linghang Zeng,"Economics, Finance, Finance & Economics, Sustainability, Technology",Macro Finance; Monetary Economics; Household Finance; Labor Finance; Corporate Finance; Time Series Econometrics; Panel Regression Analysis; Structural Modeling; Event Study Methodology; General Equilibrium Modeling; Household Lending; Labor Market Analysis; Banking Sector; Investment Management; Sell-Side Research; FinTech; Responsible Finance; Innovation Finance; Firm Growth Dynamics
Lisa Hellmuth,"Entrepreneurship, Entrepreneurship & Small Ventures",Entrepreneurship; Entrepreneurial Education; ; ; 
Lorianne DiSabato,"Humanities & Cultural Studies, Technology",American Literature; Nature Writing; Creative Nonfiction; Rhetoric and Composition; Writing Studies; Discourse Analysis; Narrative Analysis; Qualitative Research; Interpretive Methodology; Higher Education; Academic Publishing; Environmental Communication; Writing Consulting; Digital Humanities; Digital Rhetoric; Environmental Humanities; Digital Storytelling
Louissa Abdelghany,Humanities & Cultural Studies,language pedagogy; intercultural competency; community development; comparative literature; Arabic cultural studies; foreign language education; qualitative research; ethnographic methods; discourse analysis; curriculum development; business Arabic training; community education; cultural exchange programs; language assessment; food culture pedagogy; Arabic cinema studies; interdisciplinary cultural studies
Lucy Turner,"Entrepreneurship, Leadership & Organizational Development, Technology",Entrepreneurship Education; Leadership Development; Experiential Learning; Career Development; Organizational Psychology; Simulation-Based Learning; 360-Degree Feedback; Psychometric Assessment; Digital Pedagogy; Action Learning; Start-up Incubators; Higher Education; Career Services; Business Coaching; Leadership & Teamwork Programs; Virtual Incubator Simulation; Digital Leadership; Online Experiential Learning; Predictive Analytics in HR; Digital Entrepreneurship
Luke Stein,"Economics, Entrepreneurship, Finance, Finance & Economics, Marketing, Technology",Corporate finance; Labor economics; Entrepreneurial finance; Financial history; Financial uncertainty; Economics of discrimination; Panel data econometrics; Archival data analysis; Natural experiment design; Time series analysis; Quantitative impact evaluation; Financial services; Entrepreneurial ventures; Online marketplaces; Asset pricing; Gambling markets; Financial inclusion; Digital platform bias; Racial discrimination economics; Corporate-labor interface
Madeline Kneeland,"Innovation & Strategy, Law, Technology",Strategic management; Organizational theory; Social network dynamics; Innovation studies; Social network analysis; Network dynamics modeling; Knowledge search processes; Quantitative performance analysis; Legal services industry; Hospitality management; Corporate governance; Professional services; Outlier innovation; Technologically distant innovation; Pandemic gender equity; Network churn
Marc Walkin,"Entrepreneurship, Innovation & Strategy, Technology",Strategic Management; Organizational Behavior; Entrepreneurship; Leadership Studies; Case Study Analysis; Survey Research Methods; Business Process Modeling; Data Analytics; Small Business Management; Corporate Strategy; Business Consulting; Start-up Incubation; Digital Transformation; Sustainable Business; Remote Work Management; Diversity and Inclusion
Margaret Hassey,"Economics, Innovation & Strategy, Law, Sustainability",Sustainability Science; Environmental Justice; Environmental Governance; Environmental Politics; Gender and Environment; Human Security; Narrative Policy Framework; Strategic Planning; Systematic Assessment; Policy Analysis; Tactical Execution; Waste Management; Environmental Education; Social Impact Initiatives; Environmental Advocacy; Design Justice; Ecofeminism; Plastic Governance
Mariel Gruszko,"Economics, Innovation & Strategy, Technology",Participatory Democracy; Political Anthropology; Urban Planning; Architectural Theory; Ethnographic Research; Participatory Modeling; Lived Modeling; Collaborative Design; Qualitative Fieldwork; Civic Engagement; Community Planning; Urban Development; Public Policy; Democratic Innovation; Transdisciplinary Design; Interactive Urban Modeling; Digital Civic Platforms
Marjorie Feld,"Humanities & Cultural Studies, Marketing, Sustainability",American Jewish History; Women's History; Zionism Studies; Progressive Era History; Consumer Culture Studies; Archival Research; Biographical Method; Oral History; Interdisciplinary Pedagogy; Higher Education; Nonprofit Leadership; Public History; Community Engagement; Sustainability Education; Trans Inclusion Pedagogy; Intersectionality Studies; Jewish Political Dissent
Mark Carr,"Innovation & Strategy, Marketing",Strategic management; Innovation management; Brand strategy; Market entry strategy; Opportunity evaluation; Strategic planning frameworks; Opportunity evaluation methods; Consumer insight analysis; Case study research; Innovation program design; Management consulting; Market research; Information services; Product launch; Business development consulting; 
Mark Potter,"Entrepreneurship, Finance, Finance & Economics, Healthcare, Law, Marketing, Technology",Corporate Finance; International Finance; Entrepreneurial Finance; Mutual Fund Management; Derivatives; Asset Management; Empirical Modeling; Econometric Analysis; Portfolio Disclosure Analysis; Experimental Finance; Consumer Services; Medical Devices; High Technology; Financial Services; Litigation Support; Behavioral Finance; Financial Crime; Online Finance Education
Mark Rice,"Entrepreneurship, Innovation & Strategy, Technology",Entrepreneurial ecosystems; Innovation management; Technology transfer; Corporate entrepreneurship; Radical innovation; Case study methodology; Longitudinal research; Social capital analysis; Agency theory; Comparative case studies; University technology transfer; Textile industry; Business incubators; Higher education; Japanese manufacturing; Sustainable ecosystems; Breakthrough innovation; New market creation; Customer equity; Entrepreneurial proclivity
Mary Ann Sanchez,"Entrepreneurship, Finance, Innovation & Strategy, Law, Operations, Technology",Operations Management; Project Management; Family Entrepreneurship; Supply Chain Management; Change Management; Lean Principles; Six Sigma; PRINCE2 Agile; SAP Inventory Management; Data-driven Decision Making; Financial Services Industry; Banking Regulation; Family Business; Government Lobbying; 
Mary Durkin,"Accounting, Accounting, Law & Governance, Technology",Auditing; Professional skepticism; Behavioral accounting; Accounting education; Decision making; Artificial intelligence chatbots; Experimental priming; Metaphoric framing; Behavioral experiments; Decision aids; Audit quality; Auditor performance; Accounting assessment; Audit disclosure; Generative AI in accounting; AI-assisted auditing; Cognitive bias mitigation; Fractional truth analysis; Disconfirming information processing
Mary Gale,"Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Operations, Technology",Entrepreneurship Education; Strategic Marketing; Operations Management; Product Management; Innovation Management; Lean Startup Methodology; Case Study Research; Business Model Canvas; Market Segmentation Analysis; Strategic Planning; Software Services; Diagnostic Technologies; Telecommunications; Consumer Electronics; Consumer Packaged Goods; Education; Digital Health Services; Telemedicine Platforms; EdTech Innovation; Startup Ecosystems; HealthTech Entrepreneurship
Mary Godwyn,"Entrepreneurship, Leadership & Organizational Development, Technology",Critical Social Theory; Classical Social Theory; Gender Studies; Sociology of Entrepreneurship; Business Ethics; Qualitative Interviews; Case Study Analysis; Symbolic Interactionism; Theoretical Modeling; Nonprofit Human Services; Service Industry; Sales Interactions; Entrepreneurship Education; Women's Business Centers; Constructive Conflict Management; Emotional Dynamics in Organizations; Gender Equity Interventions; Early-career Outcomes
Mary O'Donoghue,"Economics, Humanities & Cultural Studies",Creative Writing; Literary Fiction; Short Story Studies; Contemporary Poetry; Translation Studies; Irish Literature; ; Book Publishing; Literary Translation; Creative Writing Pedagogy; Arts Residency Programs; Cultural Policy; 
Mary Pinard,Humanities & Cultural Studies,English Literature; Creative Writing; Literary Criticism; Rhetoric Studies; Poetry Studies; Ecocriticism; Close Reading; Workshop Pedagogy; Ekphrastic Analysis; Qualitative Analysis; Higher Education; Writing Center Administration; Literary Publishing; Arts Education; Ecopoetics; Documentary Poetry; Acoustic Ecology; Socio-Ecological Systems
Matthew Macarty,"Data, Operations & Supply Chain, Finance, Technology",Data Analytics; Data Visualization; Machine Learning; Process Automation; Decision Sciences; Natural Language Processing; Object Detection; Predictive Modeling; Python Programming; Statistical Analysis; Defense Analytics; Financial Market Analysis; Educational Technology; Business Intelligence; Decision Support Systems; Explainable AI; Learning Analytics; Intelligent Tutoring Systems; AI-Driven Automation
Mattia Landoni,"Finance, Finance & Economics, Law, Technology",financial market regulation; institutional finance; corporate finance; public finance; financial intermediation; event study methodology; panel data analysis; regression analysis; tax incidence modeling; repurchase agreement market; bond issuance; retirement account design; municipal securities; cryptocurrency markets; cryptocurrency taxation; digital asset regulation; fintech regulation
Maya Dworsky,"Economics, Humanities & Cultural Studies",Cultural Anthropology; Childhood Studies; Whiteness Studies; Militarism in Education; Linguistic Anthropology; Ethnographic Fieldwork; Participant Observation; Discourse Analysis; Textual Analysis; Educational Policy Reform; Diversity Training; Military Education Programs; Materiality of State Violence; Neoliberal Agency; Consent Politics; Telescopic Temporality
Megan Gorges,"Entrepreneurship, Leadership & Organizational Development, Technology",Organizational behavior; Career development; Work-life balance; Identity research; Organizational culture; Qualitative research; Quantitative research; Mixed methods research; Survey methodology; Thematic analysis; Human capital consulting; Entrepreneurship education; Management training; Organizational development; Cultural influence studies; Identity negotiation; Work-life boundary management; Meaningful work; Emotional experience research
Megan Way,"Economics, Finance & Economics, Technology",Labor Economics; Family Economics; International Trade; Higher Education Economics; Gender Earnings Gap; Econometric Analysis; Statistical Modeling; Survey Research; Case Study Method; Higher Education Administration; MBA Program Evaluation; Self-Employment Sector; Cost Containment Strategies; Remote Work Economics; Socio-Ecological Systems; Interdisciplinary Diversity Studies
Meghan Allen,"Humanities & Cultural Studies, Technology",Latin American literature; Foreign language pedagogy; Spanish cinema and culture; Postcolonial studies; Textual analysis; Close reading; Qualitative research; Curriculum design; Higher education; Language program coordination; Spanish language instruction; Educational administration; Transnational literature; Digital humanities; Media-based pedagogy; Intercultural communication
Melissa Leonard,Humanities & Cultural Studies,English Literature; British Literature; Gothic Literature; Rhetorical Analysis; Composition Studies; Close Reading; Archival Research; Qualitative Analysis; Critical Pedagogy; Higher Education; Curriculum Development; Literacy Education; Writing Instruction; Curiosity Studies; Literature and Psychology; Emotion in Literature
Melissa Manwaring,"Finance, Healthcare, Law, Leadership & Organizational Development, Sustainability, Technology",Alternative Dispute Resolution; Negotiation Theory; Organizational Behavior; Curriculum Development; Learning Assessment; Simulation-Based Learning; Case Method Teaching; Meta-Evaluation; Real-World Analysis; Competency Assessment; Healthcare Negotiation; Financial Services Negotiation; Biotechnology Negotiation; Manufacturing Negotiation; Nonprofit Negotiation; Legal Services Negotiation; Virtual Negotiation Environments; Negotiation Analytics; Cross-Cultural Negotiation; Responsible Management Education
Michael Bayer,"Entrepreneurship, Finance, Healthcare, Innovation & Strategy, Operations, Retail, Technology",Corporate Finance; Venture Capital; Operations Management; Technology Management; Entrepreneurship; Financial Modeling; Cloud Storage Architecture; M&A Strategy; IPO Structuring; Business Development Strategy; Cloud Storage; E-commerce Platforms; Audio Software; Optical Networking; Healthcare Information Systems; Cleantech Solutions; Fintech Innovation; Clean Energy Finance; Mobile Social Networks; Healthcare Analytics; Cloud Infrastructure Optimization
Michael Gioia,"Leadership & Organizational Development, Technology",Statistics education; Educational pedagogy; Curriculum development; Quantitative literacy; Project-based learning; Active learning; Instructional design; Learner assessment; Higher education; Online education; Digital learning environments; Education technology; Interdisciplinary pedagogy
Michael Goldstein,"Finance, Finance & Economics, Marketing, Sustainability, Technology",Capital Markets; Market Microstructure; Emerging Equity Markets; Financial Institutions; Asset Pricing; Climate Finance; Extreme Value Theory; Real Options Analysis; Textual Analysis; Stochastic Modeling; Event Study; High-Frequency Trading Analysis; Securities Exchange Design; Investment Banking; Real Estate Finance; Insurance Markets; Energy Markets; Privatization Finance; FinTech; Decentralized Finance; Climate Adaptation Finance; Arctic Economy; Flood Risk Management
Michaela Spampinato,"Humanities & Cultural Studies, Technology",Early Modern English Literature; Elizabethan Drama; Jacobean Drama; Shakespeare Studies; Feminist Literary Criticism; History of Sexuality; Philological Analysis; Lexicographical Research; Archival Methodology; Close Reading; Higher Education; Creative Writing Pedagogy; Digital Publishing; Editorial Practice; Queer Theory; Cultural Materialism; Digital Storytelling; Lexical Culture Studies
Michelle Li,"Data, Operations & Supply Chain, Economics, Marketing, Operations, Technology",Supply Chain Management; Closed-loop Supply Chains; Sustainable Operations; Operations Research; Competitive Supply Chain Management; Optimization Methods; Mixed-Integer Programming; Prescriptive Analytics; Predictive Analytics; Network Modeling; Machine Learning Methods; Recycling Logistics; Remanufacturing Operations; Product Refurbishment; Environmental Taxation; Trade Policy Analysis; Corporate Social Responsibility; Circular Economy; Externality Cost Modeling; Consumer Willingness to Pay; Data-Driven Strategic Decision Making; Multiperiod Supply Chain Dynamics
Miguel Rivera,"Entrepreneurship, Innovation & Strategy, Law",Social Entrepreneurship; Corporate Social Responsibility; International Business; Poverty Alleviation; Institutional Theory; Case Study Methodology; Systematic Literature Review; Conceptual Framework Development; Behavioral Agency Framework; Subsistence Market Supply Chains; Social Venture Enterprises; Global Value Chain Governance; Public-Private Partnerships; Multinational Nonprofit Alliances; Refugee Economies; Informal Economy; Market Boundary Dynamics; Ownership Transfer Dynamics
Mike McGuirk,"Data, Operations & Supply Chain, Marketing, Technology",Marketing Analytics; Digital Marketing; Customer Experience; Sports Analytics; Descriptive Analytics; Predictive Analytics; Prescriptive Analytics; Web Analytics; Social Media Analytics; Automotive Industry; Hospitality Industry; Food Service Industry; Insurance Industry; Nonprofit Organizations; Customer Journey Analytics; Fan Behavior Analytics; Platform-based Analytics; Martech Adoption
Miranda Chen,Humanities & Cultural Studies,Chinese Language Instruction; Foreign Language Pedagogy; Second Language Acquisition; Distance Learning; Business Chinese; 
Mojtaba Ebrahimian,Humanities & Cultural Studies,Modern Middle Eastern History; Iranian History; Iranian Cinema; Persianate Literature; Travel Writing Studies; ; ; 
Monica Rey,Humanities & Cultural Studies,Feminist Biblical Studies; Genocide Studies; Women’s and Gender Studies; Hebrew Bible Studies; Theological Ethics; Feminist Hermeneutics; Historical-Critical Method; Exegetical Analysis; Critical Discourse Analysis; Reception History; ; Genocidal Rape Studies; Scripture and Mass Atrocity Prevention; Intersections of Genocide and Gender; Afterlives of the Hebrew Bible
Nada Hashmi,"Data, Operations & Supply Chain, Healthcare, Marketing, Technology",Information Systems; Collective Intelligence; Organizational Studies; Educational Technology; Data Science; Generative AI; Data Analytics; Database Management; Advanced Programming; Virtual Group Experiments; Collaboration Platforms; Higher Education; Healthcare Technology; Leadership Development; Marketing Strategy; Diversity & Inclusion; Generative AI in Education; AI-Enhanced Collaboration; Equity-Focused Technology; Technology-Mediated Leadership; Virtual Team Dynamics
Nakia Navarro,Humanities & Cultural Studies,History and Society; Social History; Cultural History; Historical Research; ; ; 
Nancy Aiken,"Accounting, Accounting, Law & Governance, Entrepreneurship, Finance, Law, Technology",Business Law; Intellectual Property Law; Corporate Compliance; Legal Studies; Corporate Governance; Legal Research Methods; Compliance Auditing; Risk Assessment Frameworks; Contract Analysis; Financial Services Compliance; Small Business Advisory; Asset Management Regulation; Corporate Transactions; Data Privacy Regulation; AI Governance in Law; Blockchain Compliance; Cybersecurity Law
Nathaniel Karst,"Leadership & Organizational Development, Technology",Applied mathematics; Nonlinear dynamics; Surface hydrology; Network modeling; Graph theory; Computational simulation; Spatio-temporal modeling; Analytical instability analysis; Graph labeling algorithms; Zero forcing algorithms; Microvascular flow analysis; Blood flow modeling; Water resource management; Subsurface water prediction; Photonic resonator design; Capillary network instabilities; Nonlinear photonics; Ecohydrology sensors; Graph-theoretic control; Ecohydrologic prediction
