Faculty Name,Profile Interests,Categories,All Keywords
Jon Dietrick,"American Realism, Drama, Economic Thinking, Literature, Naturalism, Performance Theory, American Literature","Economics, Humanities & Cultural Studies","Academic Publishing, American Literature, American Realism, Arts Education, Cultural Economy, Cultural Institutions, Drama and Performance Theory, Economic Criticism, Feminist Criticism, Feminist Re-Visioning, Literature and Economic Thinking, Money and Mimesis, Naturalism, Performance Economics, Textual Analysis, Theatre Production, Theatrical Performance Analysis"
Jon Hodge,"Queer Studies. Literary Criticism, With An Emphasis On Narrative Theory, Gender Studies",Humanities & Cultural Studies,"Academic writing, Archival research, Close reading, Cultural obsession studies, Curriculum development, Discourse analysis, ESL instruction, Gender studies, Higher education pedagogy, Literary criticism, Narrative theory, Obsessive narrative structures, Qualitative methodology, Queer theory, Queer Victorian studies, Reproductive rights allegory, Textual analysis, Victorian literature"
Jonathan Sims,"Strategy, Teaching Pedagogy, Open Innovation","Artificial Intelligence, Healthcare, Innovation & Strategy, Technology","Community-based innovation, Connected commons, Corporate R&D, Crowdsourcing, Generative AI in education, Healthcare technology, Higher education, Hybrid crowdsourcing, Innovation management, Management education, Moonshot innovation, Open innovation, Open source software development, Platform analytics, Qualitative case study, Strategic management"
Jordan Bessette,,Humanities & Cultural Studies,Arts & Humanities
Jordan Escobar,"Ecopoetics, Environmentalism, Nature Writing, Poetry, Composition","Humanities & Cultural Studies, Sustainability","Academic Publishing, Climate Storytelling, Composition Studies, Creative Workshops, Creative Writing, Ecohumanities, Ecopoetics, Environmental Advocacy, Environmental Humanities, Environmental Narrative Theory, Higher Education, Literary Analysis, Poetry, Qualitative Research, Rhetorical Analysis, Textual Analysis, Workshop Pedagogy"
Jorge Tarzijan,,"Innovation & Strategy, Technology","Business Model Innovation, Case Study Research, Corporate Strategy, Corporate Transformation, Digital Business Models, Economic Behavior, Empirical Research, Game Theoretic Modeling, Interdisciplinary Business Research, Organizational Behavior, Organizational Development, Qualitative Analysis, Strategic Consulting, Strategic Management, Sustainable Business Models"
Joseph Ricciardi,"Fiscal Policy, History Of Economic Thought, Latin American Economics, Monetary Policy, Economics","Economics, Finance, Finance & Economics, Law","Access economy, Archival research, Banking regulation, Commons resistance, Comparative political economy, Critical discourse analysis, Economic development policy, Financial intermediation, Financial market intermediation, Financialization of everyday life, Fiscal policy, Historical analysis, History of economic thought, Hypercapitalism, Latin American economics, Mixed economy management, Monetary policy, Political economy"
Joseph Weintraub,"Experiential Learning, High Performance Teams, Interpersonal Skills, Leadership Coaching, Leadership Development, Management, Organizational Behavior, Peer, Project Management, Developmental Feedback","Finance, Healthcare, Leadership & Organizational Development, Marketing","360-Degree Feedback, Action Learning, Adaptive Leadership Development, Business Education Innovation, Consumer Electronics, Developmental Feedback, Executive Coaching, Executive Coaching for Innovation, Experiential Learning, Financial Services, Healthcare, Leadership Development, Organizational Behavior, Organizational Innovation Culture, Pharmaceutical Industry, Professional Sports, Project Management, Psychometric Assessment, Team Dynamics, Telecommunications"
Josh Staveley,"Financial Economics, International Capital Asset Pricing Model, International Economics, International Finance, Macroeconomics, Money & Banking, Economic Education","Economics, Finance, Finance & Economics, Healthcare, Law, Marketing","Bank regulation, Capital asset pricing models, Classroom demonstrations, Economic education, Experimental asset pricing, Experimental economics, Financial economics, Health insurance markets, International capital flows, International economics, International finance, International welfare spillovers, Macroeconomics, Money & banking, Nonlinear econometrics, Pension schemes, Risk pooling experiments"
Joshua Lazard,,Humanities & Cultural Studies,"Church Music, Divinity Studies, Liturgical Theology, Religious Education, Sacred Music"
Joshua Stillwagon,,"Economics, Finance, Finance & Economics, Technology","Behavioral Finance, Big Data Analytics, Currency Risk Management, Energy Policy Analysis, Feedback Effects Analysis, Financial Economics, Forecasting Techniques, Imperfect Knowledge Economics, International Finance, Macroeconomics, Market Sentiment Analysis, Markov Switching Models, Non-linear Modeling, Revenue Forecasting, State Budget Forecasting, Transdisciplinary Approaches"
Joy Ongard,,"Economics, Finance & Economics",Economics
Julia Kokina,"Auditing, Management Accounting, Accounting Information Systems","Accounting, Artificial Intelligence, Finance, Law & Governance, Technology","Accounting Education, Accounting Information Systems, Artificial Intelligence, Auditing, Automation in Auditing, Big Data Analytics, Blockchain Adoption, Blockchain Technology, Cognitive Automation, Corporate Accounting, Digital Innovation in Accounting, Digital Labor, Internal Audit, Internal Control, Management Accounting, Public Accounting, Risk Management, Robotic Process Automation"
Julie De Zutter,,"Leadership & Organizational Development, Technology","Antimicrobial Development, Biotechnology Tools, Cancer Therapeutics, Computational Modeling, DNA Repair, DNA–Protein Interactions, Electrophoretic Mobility Shift Assay, Gene Therapy, Genome Editing, Homologous Recombination, In Vitro Biochemical Assays, Molecular Biology, Protein-DNA Binding Assays, Single-Molecule Imaging, Site-Directed Mutagenesis, Synthetic Biology"
Julie Levinson,"Documentary Film, Film Genre, Film, Independent, Metafiction, Narrative Theory, Cultural History",Humanities & Cultural Studies,"archival research, arts administration, case method teaching, documentary film studies, documentary production, feminist film theory, film cultural history, film festival programming, film genre studies, film-centered pedagogy, human resource education, hybrid documentary, media convergence, metafiction, museum curation, narrative analysis, narrative theory, spectatorship analysis, temporality studies, transdisciplinary pedagogy"
Kandice Hauf,"Chinese Philosophy, Chinese Cultural History (14th - 16th Centuries)",Humanities & Cultural Studies,"Archival Research, Asian Development, Chinese Cultural History, Chinese Philosophy, Comparative Analysis, Critical Inquiry, Cultural Heritage Preservation, Cultural Tourism, Death Tourism, Educational Programming, Experiential Learning, Food Pedagogy, Gender Studies, Girl Effect, Global Culture Production, Historical Analysis, Poverty Alleviation, Tourism Development, Transnational Cultural Flows, Women's Empowerment"
Kankana Mukherjee,"Data Envelopment Analysis, Efficiency Analysis, Productivity, Applied Microeconomics","Economics, Finance & Economics, Healthcare, Operations, Technology","Allocative Efficiency Testing, Applied Microeconomics, By-production Approach, Data Envelopment Analysis, Directional Distance Functions, Efficiency Analysis, Emerging Economies, Energy Economics, Energy Efficiency, Environmental Efficiency Analysis, Geometric Distance Functions, Geometric Young Productivity Index, Health Economics, Hospital Services, Indian Manufacturing, Local Health Departments, Medical Insurance, Nonparametric Efficiency Measures, Operations Research, Productivity Analysis, Sustainable Productivity, Undesirable Output Efficiency"
Kathleen Dean,"Global Agile Teams, Including Mobile Application, Platform Development, Specializing In Software Development, Digital Innovation","Finance, Healthcare, Innovation & Strategy, Sustainability, Technology","Agile development, Cloud-native architecture, Comparative politics, Digital health platforms, Digital innovation, Employee benefits administration, Ethnic conflict, Financial services, Health care platforms, International politics, Mobile application development, Open-source development, Political science, Postcommunism, Real estate advisory, Sustainable business engagement, Systems thinking, Systems thinking for sustainability, Technology workforce diversity"
Keith Rollag,"Management Training, Newcomer Training, Organizational Behavior, Social Networks, Socialization, Management","Leadership & Organizational Development, Technology","Case-based learning, Digital onboarding, Employee onboarding, Experiential learning, Leadership development, Management consulting, Management education, Newcomer socialization, Online experiential learning, Organizational behavior, Organizational culture, Remote leadership, Simulation-based training, Social network analysis, Social networks, Social technology adoption, Survey research, Talent management, Team performance, Virtual collaboration"
Kellie Donovan,"Century Irish Literature & The Irish Literary Revival, Culture, Gothic Literature, Nineteenth, Urban Literature, Women Writers, British & American Romanticism",Humanities & Cultural Studies,"archival research, British and American Romanticism, close reading, comparative criticism, Gothic Literature, historical criticism, Irish Literary Revival, Nineteenth-Century Irish Literature, textual analysis, Urban Literature and Culture, Women Writers"
Ken LeBlanc,,"Innovation & Strategy, Law, Technology","Agile IT Governance, Business Process Automation, Business–IT Alignment, Customer Relationship Management, Data-Driven Management, Digital Transformation, Enterprise Resource Planning, Information Systems Management, IT Governance, IT Project Management, IT-Driven Business Innovation, Program Execution, Stakeholder Collaboration, Strategic IT Management"
Ken Matsuno,"Competitive Strategy, Fashion Industry, Global Marketing, Japan, Market Orientation, Marketing Strategy, Pharmaceutical Industry, Product Strategy, Technology, Automotive Industry","Entrepreneurship, Marketing, Marketing & Consumer Behavior, Sustainability, Technology","automotive industry, business-to-business marketing, business-to-business relationships, corporate strategy, entrepreneurial proclivity, environmental uncertainty, fashion industry, global marketing, longitudinal analysis, market orientation, marketing strategy, mediation analysis, pharmaceutical industry, population aging, structural equation modeling, survey research, sustainability marketing"
Kenneth Accardi,,"Data, Healthcare, Law, Operations & Supply Chain, Technology","Aging-in-Place Technology, Business Administration, Business Intelligence, Computer Science, Data Analytics, Digital Health, Engineering Management, Enterprise Service Management, Health Informatics, Healthcare IT Solutions, Healthcare Technology, Home Health Services, IoT Healthcare, IT Governance, Medical Imaging, Radiography Applications, Remote Patient Monitoring, Service Management, Telecare, Telematics Solutions"
Kenneth Demma,,"Artificial Intelligence, Entrepreneurship, Finance, Marketing, Marketing & Consumer Behavior, Retail, Technology","AI-Driven Marketing, Analytics-Driven Strategy, Consumer Behavior, CRM Analytics, Customer Experience Management, Customer Journey Analytics, Customer Segmentation, Data Mining, Digital Business Strategy, E-commerce, Financial Services Marketing, Government Advisory, Marketing Analytics, Marketing Attribution, Omni-channel Analytics, Predictive Modeling, Real-time Marketing Analytics, Small Business Consulting, Strategic Marketing, Technology Consulting"
Kenneth Parker,,"Artificial Intelligence, Entrepreneurship, Marketing, Marketing & Consumer Behavior, Retail, Technology","AI in Marketing, B2B Marketing, Brand Management, Consumer Behavior, Marketing Analytics, Marketing Automation, Marketing Strategy, Qualitative Interviews, Retail Marketing, Small Business Marketing, Social Media Marketing, Survey Research Methods"
Kerri McKeever,"Institutional Investment Management, Not For Profit Finance, Capital Markets","Finance, Finance & Economics, Technology","Asset Allocation, Bond Valuation, Capital Markets, Fixed Income, Fixed Income Analysis, Institutional Asset Management, Institutional Investment Consulting, Investment Management, Manager Selection, Nonprofit Finance, Portfolio Management, Portfolio Monitoring, Private Client Services, Risk Modeling"
Kerry Gibson,"Dyadic Work Relationships, Retail Sector, Self, Disclosure","Leadership & Organizational Development, Retail, Technology","dyadic analysis, employee engagement, leadership development, microcommunity research, organizational compassion, organizational identification, organizational training, organizational voice, positive organizational scholarship, positive psychology interventions, qualitative interviews, quantitative analysis, relational identity threat, relationship development, retail sector, scale development, survey methodology, team coaching, workplace relationships"
Kerry Rourke,,"Accounting, Leadership & Organizational Development, Technology","Accounting Education, Accounting Firms, Business Pedagogy, Civil Discourse Education, Collaborative Learning, Communication Studies, Corporate Training, Digital Communication Pedagogy, Educational Podcasting, Experiential Learning, Higher Education, Integrated Curriculum Design, Interdisciplinary Communication, Podcast Production, Professional Development, Strategic Business Communication"
Kevin Bruyneel,"Decolonization, Indigenous Studies, Memory Studies, Political Theory, Politics, Settler Colonialism, Sports, U.S. Politics, Critical Race Theory","Economics, Humanities & Cultural Studies","American Politics, Archival Research, Comparative Historical Analysis, Critical Discourse Analysis, Critical Indigeneities, Critical Race Studies, Cultural Heritage, Decolonial Studies, Higher Education, Indigenous Studies, Intersectional Analysis, Memory Studies, Political Theory, Public Policy, Racial Capitalism, Settler Colonial Studies, Settler Memory, Social Justice Advocacy"
Kevin Sweeney,"Financial Sector, Fintech, Private Equity & Impact Investing, Small Business Development, Social Entrepreneurship, Entrepreneurial Finance","Entrepreneurship, Finance, Finance & Economics, Technology","Banking, Community economic development, Corporate finance, Entrepreneurial finance, Entrepreneurship, Experiential entrepreneurship, Experiential learning, Financial services, Financial technology, FinTech innovation, Immersive education, M&A analysis, Non-profit management, Private equity valuation, Real estate development, Social enterprise, Social impact finance, Transaction structuring"
Kim Sawyer,,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Law","Banking governance, Corporate governance, Cross-border entrepreneurship, Diversity equity inclusion, Diversity inclusion frameworks, Economic development, Equity financing strategies, Finance, Gender studies, Gender-lens investing, Inclusive economic development, Mentorship program models, Networking interventions, Nonprofit management, Risk management frameworks, SME development, Social entrepreneurship, Social entrepreneurship networks, Supplier diversity, Training program design, Under-resourced economies, Women entrepreneurship"
Kimberly Silva,,"Accounting, Entrepreneurship, Finance, Law, Law & Governance, Operations, Technology","Accounting Education, Anti-Money Laundering, Banking Compliance, Beneficial Ownership Transparency, Compliance Audit, Consent Order Compliance, False Claims Act Enforcement, Financial Crime Compliance, Financial Data Analytics, Financial Services Sector, Forensic Accounting, Forensic Investigations, Fraud Examination, Fraud Risk Assessment, Internal Audit, Nonprofit Financial Management, Small Business Accounting, Supply Chain Effectiveness, Supply Chain Management"
Kimiko Ise,"Japanese Language, Literature, Foreign Language Pedagogy","Humanities & Cultural Studies, Technology","Communicative language teaching, Cross-cultural communication, Curriculum development, Digital language learning, English literature, Foreign language pedagogy, Global citizenship education, Higher education, Instructional design, Intercultural competence, International education, Japanese culture studies, Japanese language education, Language instruction, Second language acquisition, Task-based language teaching"
Kirstin Cooprider,,"Data, Operations & Supply Chain, Technology","Data Analytics, Data Visualization, Data-Driven Education, Educational Analytics, Educational Technology, Higher Education, Instructional Design, Interdisciplinary STEM Integration, Learning Analytics, Mathematical Modeling, Mathematics Education, Quantitative Analysis, Science Education, Statistical Modeling, STEM Curriculum Development, STEM Pedagogy"
Krista Hill,"Marketing Experiments, Marketing Research, Services Marketing, Consumer Psychology","Healthcare, Marketing, Marketing & Consumer Behavior, Technology","Affective message tailoring, Cancel culture phenomenon, Consumer psychology, Digital complaint deescalation, Emotional marketing, Experimental design, Healthcare marketing, Interdisciplinary health communication, Marketing communication, Marketing experiments, Meta-analysis, Nonverbal behavior assessment, Plant-based meat marketing, Service failure compensation, Service recovery, Services marketing, Social media complaint management"
Kristen Getchell,"Composition, Storytelling, Business Communication","Artificial Intelligence, Leadership & Organizational Development, Technology","AI-driven Business Communication, Artificial Intelligence, B2B Relationship Management, Business Communication, Experimental Research Methods, Global Virtual Team Resilience, Hybrid Learning Environments, Management Education, Online Collaboration Platforms, Professional Communication, Qualitative Content Analysis, Remote Team Collaboration, Rhetorical Pedagogy, Rhetorical Theory, Sales Communication, Storytelling, Video Conferencing Platforms, Virtual Collaboration, Virtual Persuasion Strategies, Virtual Sales Interactions"
Kristen Tzoc,"Medical Sociology, Social Inequalities, Social Network Analysis, Youth, Children","Economics, Healthcare, Leadership & Organizational Development","Adolescent Mental Health, Health Policy, Higher Education Administration, Intersectional Health Disparities, Labor Market Sociology, Life Course Studies, Longitudinal Analysis, Medical Sociology, Mental Health Services, Multivariate Statistics, Occupational Aspiration Research, Qualitative Interviews, Social Inequalities, Social Network Analysis, Sociology of Education, Survey Methodology, Workforce Development, Youth Studies"
Kristi Girdharry,"Composition, Pedagogy, Rhetoric, Writing Centers, Artificial Intelligence","Artificial Intelligence, Humanities & Cultural Studies, Marketing, Technology","Academic Tutoring Services, AI Pedagogy, Antiracist Writing Pedagogy, Community Engagement Initiatives, Crowdsourced Archiving, Crowdsourced Memorialization, Digital Community Spaces, Digital Literacy, Ethical AI in Education, Generative AI Tools, Heuristic Analysis, Oral History Methodology, Oral History Studies, Professional Development Programs, Rhetoric and Composition, Social Media Rhetoric, Writing Center Administration, Writing Center Studies"
Kristin Wendell,"Visualization, Business Analytics","Accounting, Finance, Law & Governance, Sustainability, Technology","Accrual Estimation, Blended Learning, Case Methodology, Corporate Finance, Corporate Training, Digital Learning Strategies, Executive MBA Programs, Financial Accounting, Financial Ratio Analysis, Financial Reporting, Integrated Reporting, IT Business Services, Management Development, Managerial Accounting, Strategic Cost Analysis, Sustainability Accounting, Virtual Executive Education, Virtual Learning"
Kristofer Petersen,"Contemporary), Etc, Ignorance, Modern, Music, Palestinian Conflict, Political Responsibility, Political Theory (Ancient, Politics, Structural Injustice, The Israeli, Violence, Atrocity",Humanities & Cultural Studies,"Academic Publishing, Atrocity Studies, Colonialism Studies, Critical Discourse Analysis, Decolonial Translation Studies, Game-Based Learning, Higher Education, Israeli-Palestinian Conflict, Peacebuilding, Political Education, Political Theory, Postcolonial Political Thought, Qualitative Analysis, Role-Playing Pedagogy, Serious Games in Humanities, Structural Injustice, Textual Analysis, Violence Studies"
Krystal-Gayle-ONeill,"Human Rights, Human Security, Postcoloniality, Race, Restorative Justice, Sexuality, Social, Gender","Economics, Humanities & Cultural Studies, Law","Conflict Mediation, Conflict Resolution, Decolonial Theory, Discourse Analysis, Education Administration, Ethnographic Research, Gender and Sexuality, Global Gender Politics, Human Rights Advocacy, Human Security, Human Security Frameworks, International Governance, Intersectional Analysis, LGBTQ Decriminalization, NGO Management, Policy Analysis, Policy Development, Postcolonial Studies, Qualitative Case Studies, Queer Caribbean Studies, Restorative Justice"
Lara Kazo,,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Healthcare, Technology","Computer peripherals startups, Corporate entrepreneurship, Cross-national surveys, Ecosystem assessment, Entrepreneurial ecosystem dynamics, Entrepreneurship education, Gender gap analysis, Global entrepreneurship, Government policy advisory, Health and fitness ventures, High-impact entrepreneurship, Indicator analysis, International entrepreneurship, Mixed-methods research, Policy impact studies, Quantitative modeling, SME development, Technology entrepreneurship, University-based startups, Women's entrepreneurship"
Larinda Cole,,"Artificial Intelligence, Marketing, Marketing & Consumer Behavior, Retail, Technology","Artificial Intelligence Marketing, Business-to-Business Marketing, Consumer Behavior, Consumer Goods, Data Analytics, Digital Marketing, E-Commerce Retail, Focus Group Research, Hospitality Marketing, Marketing Automation, Marketing Strategy, Mobile Marketing, Neuromarketing, Qualitative Interviews, Services Marketing, Social Media Marketing, Statistical Analysis, Survey Research"
Laura Cannon,,"Leadership & Organizational Development, Sustainability, Technology","anthropogenic nutrient impacts, Arctic ecosystem dynamics, biogeochemical cycles, climate change mitigation, coastal ecosystem ecology, coastal resource management, eco-hydrology, ecological modeling, ecosystem management, ecosystem processes, environmental monitoring, field-based monitoring, geochemical assays, global change ecology, land-ocean continuum, nutrient flux measurement, silicon biogeochemistry, socio-ecological systems, stable isotope tracing"
Lauren Beitelspacher,"Supply Chain Management, Retail","Innovation & Strategy, Marketing, Operations, Retail, Sustainability, Technology","B2B Relationships, Buyer-Supplier Relationships, Cancel Culture, Conscientiousness in B2B, Digital Brand Strategy, Experiential Learning, Modular Course Design, Pedagogical Innovation, Responsible Management Education, Retail Management, Retail Returns, Retail Supply Chain, Supply Chain Management, Sustainable Consumption, Sustainable Retailing"
Lauri Union,,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Technology","Case study research, Crowdfunding platforms, Digital entrepreneurship, Entrepreneurial finance, Entrepreneurship, Experiential learning, Family business, Nonprofit entrepreneurship, Platform-based ventures, Qualitative interviews, Small business management, Social entrepreneurship, Startup ecosystems, Survey methodology, Sustainable entrepreneurship, Venture creation"
Laurie Krigman,"Investment Banking, Corporate Finance","Entrepreneurship, Finance, Finance & Economics, Law, Marketing, Technology","Asset Management, Asset Pricing, Corporate Finance, Corporate Governance, Econometric Analysis, Empirical Modeling, Equity Issuance, Event Study Methodology, Financial Econometrics, Financial Services, Initial Public Offerings, Investment Banking, Panel Data Analysis, Regression Analysis, Time-Series Analysis, Venture Capital"
Laurie Lesser,,"Entrepreneurship, Leadership & Organizational Development, Technology","Conflict management, Conflict resolution frameworks, Corporate training, Curriculum development, Digital learning platforms, Entrepreneurial communication, Entrepreneurship education, Experiential learning, Higher education administration, Hybrid workplace communication, Instructional design, Leadership communication, Management education, Non-profit management, Organizational communication, Professional development, Qualitative case studies, Remote conflict resolution, Small business development, Virtual team leadership"
Lee Gustafson,,"Marketing, Marketing & Consumer Behavior, Retail, Technology","Advertising Strategy, Automotive Marketing, Brand Management, Brand Revitalization, Campaign Performance Measurement, Consumer Behavior, Customer Experience Management, Digital Marketing, Digital Transformation, Experiential Marketing, Hospitality Marketing, Integrated Marketing Communications, Market Research, Marketing Analytics, Marketing Automation, Marketing Strategy, QSR Marketing, Renewable Energy Marketing, Retail Marketing, Sports Marketing, Sustainable Marketing"
Leeann Simons,"Science For Nonscience Majors, Sciences, Math","Data, Healthcare, Operations & Supply Chain, Technology","Clinical Nutrition, Clinical Nutrition Services, Data Analytics, Data Visualization, Healthcare Analytics, Human Disease, Human Health, Human Nutrition, Interdisciplinary STEM Education, Mathematical Modeling, Mathematics, Medical Practice Collaboration, Population Health Analytics, Precision Nutrition, Preventive Healthcare, Quantitative Analysis, Statistical Modeling"
Leigh Heyman,,"Artificial Intelligence, Finance, Marketing, Marketing & Consumer Behavior, Retail, Technology","AI in Marketing, Consumer Behavior, Data-driven Marketing, Digital Marketing, E-commerce Marketing, Financial Services Marketing, Influencer Marketing, Marketing Analytics, Marketing Strategy, Omnichannel Marketing, Retail Marketing, Social Media Analytics"
Leonard Green,"Family Business, Startups, Taxation, Entrepreneurship","Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Law, Technology","Business Education, Case Study Methodology, Digital Entrepreneurship, Entrepreneurship, Equine Entrepreneurship, Experiential Learning, Family Business, Family Office Governance, Financial Modeling, Financial Services, Governance Frameworks, Impact Investing, Nonprofit Governance, Pet Food Industry, Real Estate Investment, Social Entrepreneurship, Sports Management, Startup Management, Tax Modeling, Taxation, Thoroughbred Racing"
Leslie Charm,"Family Business, Governance, Entrepreneurship","Entrepreneurship, Finance, Innovation & Strategy, Law, Marketing, Operations, Retail, Technology","Alternative Finance Models, Board Directorship, Business Model Analysis, Business Scaling, Case Study Methodology, Collaborative Distribution Models, Corporate Governance, Digital Franchising, Early-Stage Venture Financing, Entrepreneurship, Family Business, Financial Modeling, Franchise Chain Operations, Franchising, Fraud Risk Management, Specialty Retail Marketing, Strategic Alliance Formation, Teaching Case Development"
Lidija Polutnik,"For, Not, Profit Organizations, Revenue Models In For, Strategic Pricing, Tactical, Economics","Economics, Finance, Finance & Economics, Marketing, Operations, Sustainability, Technology","Activity-based costing, Business model sustainability, Case study methodology, Cost-value analysis, Digital revenue management, Econometric modeling, Financial modeling, Higher education finance, Hybrid pricing strategies, Managerial economics, Not-for-profit management, Organizational ambidexterity, Pharmaceutical pricing, Pricing strategy, Private college operations, Revenue management, Strategic cost management, Technology product launch"
Linghang Zeng,,"Economics, Finance, Finance & Economics, Sustainability, Technology","Banking Sector, Corporate Finance, Event Study Methodology, FinTech, Firm Growth Dynamics, General Equilibrium Modeling, Household Finance, Household Lending, Innovation Finance, Investment Management, Labor Finance, Labor Market Analysis, Macro Finance, Monetary Economics, Panel Regression Analysis, Responsible Finance, Sell-Side Research, Structural Modeling, Time Series Econometrics"
Lisa Hellmuth,,"Entrepreneurship, Entrepreneurship & Small Ventures","Entrepreneurial Education, Entrepreneurship"
Lorianne DiSabato,"Composition, Creative Nonfiction, Nature Writing, Rhetoric, American Literature","Humanities & Cultural Studies, Technology","Academic Publishing, American Literature, Creative Nonfiction, Digital Humanities, Digital Rhetoric, Digital Storytelling, Discourse Analysis, Environmental Communication, Environmental Humanities, Higher Education, Interpretive Methodology, Narrative Analysis, Nature Writing, Qualitative Research, Rhetoric and Composition, Writing Consulting, Writing Studies"
Louissa Abdelghany,"Balzac, Century French Literature, La ComÃÂ©die Humaine, Lebanese Francophone Writers, Levantine, LouissaÃ¢â¬â¢S Research Interests Include Alf Layla Wa Layla, Modern Middle Eastern Literature, The Orient, Along With The Influence Of The Arabian Nights On 19Th",Humanities & Cultural Studies,"Arabic cinema studies, Arabic cultural studies, business Arabic training, community development, community education, comparative literature, cultural exchange programs, curriculum development, discourse analysis, ethnographic methods, food culture pedagogy, foreign language education, intercultural competency, interdisciplinary cultural studies, language assessment, language pedagogy, qualitative research"
Lucy Turner,,"Entrepreneurship, Leadership & Organizational Development, Technology","360-Degree Feedback, Action Learning, Business Coaching, Career Development, Career Services, Digital Entrepreneurship, Digital Leadership, Digital Pedagogy, Entrepreneurship Education, Experiential Learning, Higher Education, Leadership & Teamwork Programs, Leadership Development, Online Experiential Learning, Organizational Psychology, Predictive Analytics in HR, Psychometric Assessment, Simulation-Based Learning, Start-up Incubators, Virtual Incubator Simulation"
Luke Stein,,"Economics, Entrepreneurship, Finance, Finance & Economics, Marketing, Technology","Archival data analysis, Asset pricing, Corporate finance, Corporate-labor interface, Digital platform bias, Economics of discrimination, Entrepreneurial finance, Entrepreneurial ventures, Financial history, Financial inclusion, Financial services, Financial uncertainty, Gambling markets, Labor economics, Natural experiment design, Online marketplaces, Panel data econometrics, Quantitative impact evaluation, Racial discrimination economics, Time series analysis"
Madeline Kneeland,,"Innovation & Strategy, Law, Technology","Corporate governance, Hospitality management, Innovation studies, Knowledge search processes, Legal services industry, Network churn, Network dynamics modeling, Organizational theory, Outlier innovation, Pandemic gender equity, Professional services, Quantitative performance analysis, Social network analysis, Social network dynamics, Strategic management, Technologically distant innovation"
Marc Walkin,,"Entrepreneurship, Innovation & Strategy, Technology","Business Consulting, Business Process Modeling, Case Study Analysis, Corporate Strategy, Data Analytics, Digital Transformation, Diversity and Inclusion, Entrepreneurship, Leadership Studies, Organizational Behavior, Remote Work Management, Small Business Management, Start-up Incubation, Strategic Management, Survey Research Methods, Sustainable Business"
Margaret Hassey,"Ecofeminism, Environmental Politics, Gender, Global Environmental Activism, Global Environmental Governance, Human Security, Narrative Policy Framework, Plastic Governance, Waste Issues, Design Justice","Economics, Innovation & Strategy, Law, Sustainability","Design Justice, Ecofeminism, Environmental Advocacy, Environmental Education, Environmental Governance, Environmental Justice, Environmental Politics, Gender and Environment, Human Security, Narrative Policy Framework, Plastic Governance, Policy Analysis, Social Impact Initiatives, Strategic Planning, Sustainability Science, Systematic Assessment, Tactical Execution, Waste Management"
Mariel Gruszko,,"Economics, Innovation & Strategy, Technology","Architectural Theory, Civic Engagement, Collaborative Design, Community Planning, Democratic Innovation, Digital Civic Platforms, Ethnographic Research, Interactive Urban Modeling, Lived Modeling, Participatory Democracy, Participatory Modeling, Political Anthropology, Public Policy, Qualitative Fieldwork, Transdisciplinary Design, Urban Development, Urban Planning"
Marjorie Feld,"Society, History","Humanities & Cultural Studies, Marketing, Sustainability","American Jewish History, Archival Research, Biographical Method, Community Engagement, Consumer Culture Studies, Higher Education, Interdisciplinary Pedagogy, Intersectionality Studies, Jewish Political Dissent, Nonprofit Leadership, Oral History, Progressive Era History, Public History, Sustainability Education, Trans Inclusion Pedagogy, Women's History, Zionism Studies"
Mark Carr,Strategy,"Innovation & Strategy, Marketing","Brand strategy, Business development consulting, Case study research, Consumer insight analysis, Information services, Innovation management, Innovation program design, Management consulting, Market entry strategy, Market research, Opportunity evaluation, Opportunity evaluation methods, Product launch, Strategic management, Strategic planning frameworks"
Mark Potter,"Finance, Money Management, Mutual Funds, Entrepreneurial Finance","Entrepreneurship, Finance, Finance & Economics, Healthcare, Law, Marketing, Technology","Asset Management, Behavioral Finance, Consumer Services, Corporate Finance, Derivatives, Econometric Analysis, Empirical Modeling, Entrepreneurial Finance, Experimental Finance, Financial Crime, Financial Services, High Technology, International Finance, Litigation Support, Medical Devices, Mutual Fund Management, Online Finance Education, Portfolio Disclosure Analysis"
Mark Rice,,"Entrepreneurship, Innovation & Strategy, Technology","Agency theory, Breakthrough innovation, Business incubators, Case study methodology, Comparative case studies, Corporate entrepreneurship, Customer equity, Entrepreneurial ecosystems, Entrepreneurial proclivity, Higher education, Innovation management, Japanese manufacturing, Longitudinal research, New market creation, Radical innovation, Social capital analysis, Sustainable ecosystems, Technology transfer, Textile industry, University technology transfer"
Mary Ann Sanchez,"Continuous Improvement, Customer Relationship Management, Data Driven, Lean Principles, Marketing, Negotiation, Operations, P&L Management, Performance Management, Project Management, Proven Leadership, Purchasing Practices, Risk Mitigation, Sales, Sap Inventory Management, Six Sigma, Supplier Risk, Total Cost Of Ownership, Change Management","Entrepreneurship, Finance, Innovation & Strategy, Law, Operations, Technology","Banking Regulation, Change Management, Data-driven Decision Making, Family Business, Family Entrepreneurship, Financial Services Industry, Government Lobbying, Lean Principles, Operations Management, PRINCE2 Agile, Project Management, SAP Inventory Management, Six Sigma, Supply Chain Management"
